127.0.0.1 - - [17/May/2022:17:33:18 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:20 +0700] "GET /land/ HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:20 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:26 +0700] "GET /land/admin/index HTTP/1.1" 200 7861
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:29 +0700] "GET /land/admin/user/index HTTP/1.1" 200 4340
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:31 +0700] "POST /land/auth/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:31 +0700] "GET /land/admin/index HTTP/1.1" 200 7894
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:32 +0700] "GET /land/admin/land/index HTTP/1.1" 200 11611
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:32 +0700] "GET /land/resources/upload/5-73367677154900.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:32 +0700] "GET /land/resources/upload/6-73862427401300.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:32 +0700] "GET /land/resources/upload/66-74077606813200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:32 +0700] "GET /land/resources/upload/7-73975964561400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2022:17:33:33 +0700] "GET /land/admin/cat/index HTTP/1.1" 500 3738
